Player,Year,Tm,Age,MP,TS%,FTr,Offense,Val/Shot,Production,Height,Weight
Ralph Simpson,1978,DET,28,739,0.454,0.185,-3.02,0.2,"($1,-0.8,-0.8
Kenny Carr,1978,LAL,22,733,0.476,0.281,-1.98,0.1,"($3,3.4,4
Ted McClain,1978,BUF,31,727,0.501,0.342,-2.34,0.3,$0 ,1,31.43
James Edwards,1978,LAL,22,723,0.499,0.396,-0.14,0.2,$0 ,-1,4.5
Tate Armstrong,1978,CHI,22,716,0.487,0.096,-1.21,0.2,"($1,1.1,2
Don Chaney,1978,BOS,31,702,0.43,0.167,-0.57,0.1,"$100,2.2,2
Steve Sheppard,1978,CHI,23,698,0.48,0.214,-0.12,0.2,"($400,23.87,0
Jim McDaniels,1978,BUF,29,694,0.467,0.179,-0.19,0.1,"($500,-0.2,4.3
Dave Robisch,1978,LAL,28,679,0.465,0.261,0.21,0.1,"$200,4.1,5
Bird Averitt,1978,BUF,25,676,0.476,0.324,-3.97,0.3,"($2,1,2
Earl Tatum,1978,LAL,24,663,0.516,0.188,-0.28,0.3,"$2,0.9,0.9
Dick Snyder,1978,CLE,33,660,0.5,0.254,0.56,0.3,$0 ,2,34
Phil Jackson,1978,NYK,32,654,0.548,0.487,1.69,0.3,"$1,-0.5,0.5
C.J. Kupec,1978,HOU,25,626,0.461,0.168,1.18,0.2,"($200,3,25.04
Ben Poquette,1978,DET,22,626,0.461,0.267,0.36,0.1,"($1,3.9,4
Bob Carrington,1978,IND,24,621,0.545,0.376,0.91,0.4,"$700,1.9,2
Nick Weatherspoon,1978,CHI,27,611,0.492,0.216,0.09,0.2,"$500,2.7,3
Dave Robisch,1978,IND,28,598,0.469,0.354,0.77,0.2,"$1,0.5,0
John Shumate,1978,BUF,25,590,0.576,0.656,1.17,0.4,"$2,1,0.7
Ralph Simpson,1978,DEN,28,584,0.357,0.174,-4.33,0,"($700,-0.5,1.8
Al Eberhard,1978,DET,25,576,0.49,0.381,2.06,0.2,"$300,2.8,3
Ron Behagen,1978,ATL,27,571,0.509,0.281,-0.66,0.2,"$2,0.5,0.2
Scott Lloyd,1978,BUF,25,566,0.482,0.363,0.65,0.2,"($200,25.12,1
Cliff Pondexter,1978,CHI,23,534,0.469,0.235,-1.5,0.2,"$2,0.8,0
Wilson Washington,1978,NJN,22,523,0.506,0.251,1.36,0.2,$0 ,4,4
Ken Charles,1978,ATL,26,520,0.456,0.272,-2.06,0.2,"($300,-0.9,1
Mo Layton,1978,SAS,29,498,0.524,0.077,-3.77,0.4,"($1,1,1
Charles Johnson,1978,GSW,28,492,0.416,0.043,-1.3,0.1,"$800,1,2
Kevin Restani,1978,KCK,26,463,0.441,0.079,1.75,0.1,"($400,4,26.11
Wesley Cox,1978,GSW,23,453,0.452,0.578,-0.64,0.1,"($1,3.3,3
Gus Bailey,1978,NOJ,26,449,0.46,0.482,-0.32,0.2,"$1,0,0.1
Steve Green,1978,IND,24,449,0.495,0.438,1.75,0.2,"$300,24.33,2
Joe Pace,1978,WSB,24,438,0.528,0.664,0.71,0.3,"$1,0,0.1
Nate Williams,1978,NOJ,27,434,0.458,0.173,-0.26,0.2,"$1,0.1,0
Greg Griffin,1978,PHO,25,422,0.392,0.213,-2.54,0,"($1,2.7,3
Bird Averitt,1978,NJN,25,409,0.419,0.239,-4.14,0.2,"($1,1,2
Joe Hassett,1978,SEA,22,404,0.457,0.059,-1.04,0.2,$0 ,0,77
Fred Saunders,1978,NOJ,26,400,0.496,0.133,1.02,0.3,"$1,0.2,0.1
Phil Walker,1978,WSB,21,384,0.438,0.596,-4.93,0.2,"($900,2,21.87
Robert Smith,1978,DEN,22,378,0.562,0.247,1.5,0.4,"$600,-0.3,0
Freddie Boyd,1978,NOJ,27,363,0.426,0.2,-0.97,0.2,"($900,2,27.64
Louie Nelson,1978,NJN,26,353,0.463,0.371,-1.57,0.2,$0 ,26.68,4
Willie Norwood,1978,POR,30,351,0.461,0.465,-1.48,0.1,"$400,-0.7,2.9
Robert Hawkins,1978,NJN,23,343,0.501,0.193,-1.09,0.3,"$1,0.4,0
Brad Davis,1978,LAL,22,334,0.484,0.403,-4.4,0.3,"($200,1,22.13
Ernie DiGregorio,1978,LAL,27,332,0.45,0.2,-5.39,0.2,"($1,1,1
James Silas,1978,SAS,28,311,0.565,0.753,-0.25,0.3,$0 ,28.97,5
Ted McClain,1978,PHI,31,293,0.453,0.104,-1.54,0.1,"$600,1,1
Mel Bennett,1978,IND,23,285,0.367,0.556,-2.68,0,"$400,23.08,2
Al Skinner,1978,NJN,25,277,0.503,0.436,-0.48,0.3,"$1,0.3,0.1
Ernie DiGregorio,1978,BOS,27,274,0.462,0.119,-6.44,0.4,"($800,1,27.05
Derrek Dickey,1978,GSW,26,273,0.495,0.131,0.88,0.2,"$500,-0.1,2.9
Marvin Barnes,1978,DET,25,269,0.459,0.246,-2.32,0.1,"$700,-0.4,3.6
Willie Norwood,1978,DET,30,260,0.464,0.354,0.29,0.1,"$1,0.1,0
Jim Eakins,1978,SAS,31,251,0.665,0.654,2.19,0.5,"$1,0.1,0.2
Mike Green,1978,SEA,26,250,0.532,0.356,1.72,0.3,"$1,0.2,0
Fred Saunders,1978,BOS,26,243,0.376,0.187,-2.05,0,"($800,3,26.64
Tom Boerwinkle,1978,CHI,32,227,0.503,0.26,-4.03,0.3,"$700,9,84
Derrek Dickey,1978,CHI,26,220,0.445,0.279,-1.57,0.1,"($400,4,26.87
Rudy White,1978,HOU,24,219,0.409,0.212,-2.91,0.1,"($300,2,24.61
Johnny Neumann,1978,IND,26,216,0.442,0.209,-2.36,0.2,"($600,2,26.39
Eddie Jordan,1978,CLE,23,171,0.397,0.286,-3.55,0.2,"$500,1,23.01
Claude Terry,1978,ATL,28,166,0.405,0.162,-0.91,0,"($200,2,28.06
Jim Eakins,1978,MIL,31,155,0.539,0.765,1.93,0.3,"$1,0,0
Mark Crow,1978,NJN,23,154,0.473,0.25,0.27,0.2,"$600,3,23.28
Zaid Abdul-Aziz,1978,HOU,31,134,0.493,0.426,0.45,0.2,"$600,4,31.82
Don Chaney,1978,LAL,31,133,0.401,0.167,-2.4,0.1,"$700,-0.1,1.9
Gary Brokaw,1978,BUF,24,130,0.504,0.558,-1.6,0.3,"$600,2,24.06
Kevin Porter,1978,DET,27,127,0.504,0.419,-4.65,0.4,"$700,1,27.8
Dave Wohl,1978,NJN,28,118,0.446,0.353,-2.47,0.2,"($200,1,28.25
Jim Ard,1978,CHI,29,116,0.52,0.188,-0.37,0.2,"$300,5,29.37
Scott Lloyd,1978,MIL,25,112,0.401,0.303,-0.82,0,"$700,5,25.12
Larry Moffett,1978,HOU,23,110,0.374,0.588,0.04,0,"$600,23.24,0
